wordcount,titleSentiment,sentimentValue,StarRating
23,-1,-0.486389254976795,1
20,-1,-0.586187472733923,1
4,1,-0.602240274785728,1
17,1,-0.616271205663316,1
6,-1,-0.651783600846211,1
8,1,-0.720442925615128,1
23,1,-0.726825408788871,1
16,1,-0.736769470909275,1
21,1,-0.765283702598727,1
13,-1,-0.797961230041289,1
4,1,-0.833487597993772,1
9,-1,-0.838466531515186,1
4,1,-0.888559035046271,1
23,-1,-1.00269614474307,1
14,-1,-1.08326928521634,1
20,1,-1.09810976540047,1
26,-1,-1.10446879056323,1
7,1,-1.11222307733751,1
5,1,-1.27541149571376,1
22,1,-1.28600926818189,1
13,1,-1.45563953457441,1
7,-1,-1.47943280162804,1
18,-1,-1.49830553610357,1
4,1,-1.7808890623881,1
2,1,-2.2764690274042,1
29,1,0.107671417902439,1
30,-1,-0.062615803612786,2
63,1,-0.063282142279184,2
33,-1,-0.130138468643746,2
34,1,-0.201709902690285,2
76,1,-0.295193697902595,2
34,-1,-0.55298569951594,2
36,-1,-0.615021774530749,2
63,-1,-0.642228431207522,2
45,1,-0.747804763547027,2
27,1,-0.769308686900702,2
32,-1,-0.950120971741788,2
103,-1,-1.70726757428177,2
22,-1,0.052840598310511,2
20,1,0.057927909239583,2
27,1,0.073778554521174,2
9,1,-0.012039393687097,3
13,1,-0.015018770703305,3
15,1,-0.022034567827611,3
3,1,-0.036155269731246,3
6,1,-0.048438513883959,3
20,1,-0.061754834557505,3
3,1,-0.065483260363429,3
13,1,-0.070440623235475,3
9,1,-0.07448342800404,3
1,1,-0.083467049046536,3
1,1,-0.083467049046536,3
5,1,-0.088824485991326,3
2,1,-0.089638832326804,3
7,1,-0.092401151285184,3
15,1,-0.096386549040849,3
23,1,-0.100421823541909,3
4,1,-0.106498437457831,3
9,1,-0.107455665207025,3
3,1,-0.107755239995167,3
8,1,-0.108143714614982,3
10,1,-0.110966970389826,3
6,1,-0.114317203474821,3
3,1,-0.116131739260556,3
19,-1,-0.137943450460743,3
1,1,-0.139860755685693,3
1,1,-0.139860755685693,3
1,1,-0.139860755685693,3
1,1,-0.139860755685693,3
1,1,-0.171700729362672,3
1,1,-0.213091985923621,3
7,1,-0.227463145446294,3
2,1,-0.236295420447565,3
5,1,-0.246729809550388,3
4,1,-0.256026220490105,1
4,-1,-0.256111607543979,3
17,1,-0.25763899916436,3
23,-1,-0.300490619986635,3
4,1,-0.311819889690296,1
13,1,-0.348732833470111,1
12,-1,-0.355790362692936,1
6,1,-0.365336587254832,1
14,-1,-0.376120799945642,1
7,1,-0.39684951011729,1
28,1,-0.406623378115182,3
5,-1,-0.43963932618471,1
23,1,-0.446730189935192,3
7,1,-0.465645605667216,1
4,-1,-0.466101534082196,1
18,-1,-0.493784343417131,1
20,1,0.001545803154977,3
5,1,0.00481981771409,3
4,1,0.020339695161504,3
19,1,0.034394297057358,3
17,1,0.035112342138924,3
12,1,0.039896363651857,3
3,1,0.042368593546182,3
9,1,0.048475323270643,3
5,1,0.066693547950856,3
6,1,0.07815662120107,3
2,1,0.081264411158997,3
18,1,0.104674162280131,3
4,1,0.125126182628014,3
15,1,0.132087094725079,3
5,1,0.136206681712094,3
4,1,0.136881606286593,3
1,1,0.151900351799538,3
1,1,0.153140605764404,3
6,1,0.157435906952103,3
6,1,0.160616169220173,3
4,1,0.170650590654926,3
16,1,0.190014895378753,3
12,1,0.201198611049545,3
9,1,0.21267373358732,3
11,1,0.218229880087406,3
4,1,0.237716862430404,3
8,1,0.238395932002064,3
11,1,0.244712650828446,3
6,1,0.246868563915496,3
11,1,0.281624175932934,3
8,1,0.28367333153993,3
1,1,0.288223609297984,3
10,1,0.297272008634419,3
1,1,0.29744333319454,3
3,1,0.297790758489495,3
5,-1,0.301520900669245,3
22,1,0.30842387138568,3
2,1,0.310467654944756,3
2,1,2.06629371416545,3
1,1,2.49490190311207,3
7,1,0.107110755621588,4
38,1,0.136765500409351,2
49,1,0.145602057571937,2
28,1,0.157160061233533,2
52,-1,0.193290804595623,2
17,1,0.199282782193225,4
34,1,0.21454325055386,2
49,1,0.226819346688797,2
16,-1,0.23671299974719,4
42,1,0.264090990993196,2
22,1,0.272991277687966,4
4,1,0.315914289748956,4
42,-1,0.319576096643015,2
27,1,0.358094903885074,2
35,1,0.397294136270906,4
17,1,0.400986298658293,4
16,1,0.472361853621951,4
21,1,0.511458956578248,4
16,1,0.513035455977057,4
21,1,0.528874071820156,4
21,1,0.581933731407526,4
12,-1,0.743364666251142,4
25,1,0.808384456657739,4
25,1,0.813521314089227,4
30,1,0.870910602918016,4
19,1,0.911597567970187,4
10,1,2.07853259509933,4
4,1,0.31941155594565,5
3,1,0.335547529058251,5
9,1,0.340635632699804,5
1,1,0.340837500179434,5
9,1,0.344928677162906,5
2,1,0.373012776263794,5
5,1,0.377285862971427,5
1,1,0.410584088997753,5
12,1,0.416996065119842,4
8,1,0.436012328890255,5
13,1,0.458069977730335,4
6,1,0.462591719379882,5
7,-1,0.475377613980815,5
12,1,0.502011059302881,4
2,1,0.531342836464948,5
2,1,0.556533077255846,5
11,1,0.590758435591605,4
5,1,0.598366063485542,5
12,1,0.626541134795356,4
5,1,0.634095880785509,5
6,1,0.644796831841997,5
8,1,0.647471793527058,5
2,1,0.650792125993681,5
7,1,0.651691433711653,5
9,1,0.660120247655165,5
12,1,0.664222118360991,4
11,1,0.66652178155237,5
5,1,0.670468060537199,5
3,1,0.680167042134735,5
6,1,0.68187963047877,5
3,-1,0.681936812332285,5
10,-1,0.693038887721746,5
4,1,0.694613288191331,5
3,1,0.703684899969383,5
2,1,0.727406479279156,5
2,1,0.72900065865234,5
2,1,0.736484971682088,5
6,1,0.777594411283466,5
2,1,0.789284099268373,5
2,1,0.789284099268373,5
9,1,0.794210584136167,5
9,1,0.796459239329723,5
6,1,0.825006226764136,5
10,1,0.848620381238333,5
12,1,0.876945568058955,4
3,1,0.950244537529184,5
3,1,0.950244537529184,5
11,1,0.970349548727348,4
9,1,0.983343646992581,5
3,1,0.984503987419696,5
15,1,0.987533419869516,4
7,1,1.01580670272259,5
8,1,1.0349163821288,5
7,1,1.08051008261931,5
6,1,1.11247640771016,5
18,1,1.11762939847236,4
4,1,1.13248593989157,5
1,1,1.16548800722651,5
1,1,1.16548800722651,5
7,1,1.17386917037823,5
3,1,1.17556434812823,5
2,1,1.20450161899651,5
5,1,1.21315840259056,5
1,1,1.2139421714046,5
14,1,1.25207451973627,4
2,1,1.27126047435825,5
3,1,1.29401125427624,5
6,1,1.36226239398919,5
2,1,1.37952991470007,5
2,1,1.37952991470007,5
6,1,1.39564577965687,5
3,-1,1.40569699978498,5
9,1,1.41372294046872,5
2,1,1.42271421582062,5
7,1,1.42507679233504,5
5,1,1.49692708857238,5
9,1,1.52779680412476,5
2,1,1.59330080620077,5
2,1,1.59330080620077,5
3,1,1.63089989560578,5
15,1,1.76981774254868,4
1,1,1.83708236255804,5
5,1,1.88180570000646,5
3,1,1.94386241769239,5
3,1,1.94386241769239,5
2,1,2.05293190538168,5
7,1,2.05555639366319,5
2,1,2.06629371416545,5
2,1,2.06629371416545,5
2,1,2.06629371416545,5
5,1,2.09854666774892,5
1,1,2.22038698358642,5
2,1,2.2950855682583,5
2,1,2.33301273369091,5
1,1,2.49490190311207,5
3,1,2.81481813356847,5
1,1,2.92439308616636,5
1,1,2.92439308616636,5
1,1,2.92439308616636,5
3,-1,3.26457855449084,5
